source_title,source_journal,citing_title,citing_pmid,pmcid,ref_ids,citation_sentence,vader_score,textblob_score,custom_score,pos_ratio,neg_ratio
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Upper limb intention tremor assessment: opportunities and challenges in wearable technology.,38218890,PMC10787996,CR110,"Intention tremor is a subtype associated with lesions in the cerebellum and its connected pathways, and it is a common symptom in diseases associated with cerebellar pathology.",0.5,0.35,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Upper limb intention tremor assessment: opportunities and challenges in wearable technology.,38218890,PMC10787996,CR110,"While clinicians traditionally use tests to identify tremor type and severity, recent advancements in wearable technology have provided quantifiable ways to measure movement and tremor using motion capture systems, app-based tasks and tools, and physiology-based measurements.",0.5,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Upper limb intention tremor assessment: opportunities and challenges in wearable technology.,38218890,PMC10787996,CR110,"However, quantifying intention tremor remains challenging due to its changing nature.",0.57655,0.59375,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Upper limb intention tremor assessment: opportunities and challenges in wearable technology.,38218890,PMC10787996,CR110,"This review examines the current state of upper limb tremor assessment technology and discusses potential directions to further develop new and existing algorithms and sensors to better quantify tremor, specifically intention tremor.",0.7202,0.553030303030303,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Upper limb intention tremor assessment: opportunities and challenges in wearable technology.,38218890,PMC10787996,CR110,A comprehensive search using PubMed and Scopus was performed using keywords related to technologies for tremor assessment.,0.625,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Upper limb intention tremor assessment: opportunities and challenges in wearable technology.,38218890,PMC10787996,CR110,"Afterward, screened results were filtered for relevance and eligibility and further classified into technology type.",0.5,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Upper limb intention tremor assessment: opportunities and challenges in wearable technology.,38218890,PMC10787996,CR110,"A total of 243 publications were selected for this review and classified according to their type: body function level: movement-based, activity level: task and tool-based, and physiology-based.",0.5,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Upper limb intention tremor assessment: opportunities and challenges in wearable technology.,38218890,PMC10787996,CR110,"Furthermore, each publication's methods, purpose, and technology are summarized in the appendix table.",0.5,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Upper limb intention tremor assessment: opportunities and challenges in wearable technology.,38218890,PMC10787996,CR110,"Our survey suggests a need for more targeted tasks to evaluate intention tremors, including digitized tasks related to intentional movements, neurological and physiological measurements targeting the cerebellum and its pathways, and signal processing techniques that differentiate voluntary from involuntary movement in motion capture systems.",0.5,0.625,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",The Clinical Profile of Tremor in Parkinson's Disease.,37868914,PMC10585977,mdc313845-bib-0037,"[CIT] , 38",0.5,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Reconstructing Re-emergent Tremor.,37772284,PMC10525057,mdc313806-bib-0001,"In 1999, re‐emergent tremor was described as a typical phenomenon in Parkinson's disease (PD) by Jankovic and colleagues, [CIT] characterized as “a rest tremor that re‐emerges after a variable delay while maintaining posture.” This definition is also used in the International Parkinson and Movement Disorders Society consensus statement on the classification of tremors.",0.3409,0.4583333333333333,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Reconstructing Re-emergent Tremor.,37772284,PMC10525057,mdc313806-bib-0001,"[CIT] , 3 The first three features, which are described in the Movement Disorder Society (MDS) consensus statement, can be seen with the naked eye.",0.29905000000000004,0.5625,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Reconstructing Re-emergent Tremor.,37772284,PMC10525057,mdc313806-bib-0001,"[CIT] , 3 , 4 Identification of re‐emergent tremor in a patient has important clinical implications, as it can discriminate PD from essential and dystonic tremor.",0.60115,0.6,0.9999995000005,0.045454545454545456,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Reconstructing Re-emergent Tremor.,37772284,PMC10525057,mdc313806-bib-0001,"[CIT] , 5 , 6 An excellent demonstration of proper assessment for re‐emergent tremor has been provided earlier.",0.81245,0.6666666666666666,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Reconstructing Re-emergent Tremor.,37772284,PMC10525057,mdc313806-bib-0001,"[CIT] , 5 , 6",0.5,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Reconstructing Re-emergent Tremor.,37772284,PMC10525057,mdc313806-bib-0001,"Altogether, we endorse the original description and assessment of re‐emergent tremor by Jankovic and colleagues, [CIT] which integrates all four essential features (ie, postural, latency, presence of rest tremor, and frequency similar to the rest tremor) (Fig.",0.7787,0.5625,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Distal Upper Limb Tremor during Walking in Parkinson's Disease.,37635779,PMC10450241,mdc313814-bib-0010,"[CIT] , 11 , 12 Although both tremors appear during posture holding, re‐emergent and postural tremor differ for the pathophysiological and clinical features.",0.5,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Aberrant dentato-rubro-thalamic pathway in action tremor but not rest tremor: A multi-modality magnetic resonance imaging study.,37408389,PMC10651946,cns14339-bib-0018,"17 Because PD patients often have both action tremor and rest tremor, [CIT] , 19 there were only 7 PD‐WT and 6 PD‐RT have no action tremor.",0.352,0.5083333333333333,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Pharmacological Treatment of Tremor in Parkinson's Disease Revisited.,36847017,PMC10041452,ref011,This re-emergent tremor is in the same frequency range as resting tremor and the severity of the tremor in the two situations is usually correlated [ [CIT] ].,0.5,0.4375,0.9999995000005,0.05,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Pharmacological Treatment of Tremor in Parkinson's Disease Revisited.,36847017,PMC10041452,ref011,"The average latency for a resting tremor to re-emerge with tonic muscle activation is around 9 seconds, with a broad interindividual range from 1 to more than 30 seconds [ [CIT] ].",0.5,0.56875,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Pharmacological Treatment of Tremor in Parkinson's Disease Revisited.,36847017,PMC10041452,ref011,"Isolated asymmetric postural tremor, without resting tremor, can also occur as an early sign of PD and may be a source of diagnostic confusion [ [CIT] ].",0.22885,0.55,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Sensor Verification and Analytical Validation of Algorithms to Measure Gait and Balance and Pronation/Supination in Healthy Volunteers.,36016036,PMC9412295,B29-sensors-22-06275,Numerous studies have sought to demonstrate the utility of digital measures of motor function in Parkinson’s disease.,0.5,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Sensor Verification and Analytical Validation of Algorithms to Measure Gait and Balance and Pronation/Supination in Healthy Volunteers.,36016036,PMC9412295,B29-sensors-22-06275,"Frameworks, such as V3, document digital measure development: technical verification, analytical and clinical validation.",0.5,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Sensor Verification and Analytical Validation of Algorithms to Measure Gait and Balance and Pronation/Supination in Healthy Volunteers.,36016036,PMC9412295,B29-sensors-22-06275,We present the results of a study to (1) technically verify accelerometers in an Apple iPhone 8 Plus and ActiGraph GT9X versus an oscillating table and (2) analytically validate software tasks for walking and pronation/supination on the iPhone plus passively detect walking measures with the ActiGraph in healthy volunteers versus human raters.,0.77115,0.5625,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Sensor Verification and Analytical Validation of Algorithms to Measure Gait and Balance and Pronation/Supination in Healthy Volunteers.,36016036,PMC9412295,B29-sensors-22-06275,"In technical verification, 99.4% of iPhone and 91% of ActiGraph tests show good or excellent agreement versus the oscillating table as the gold standard.",0.93445,0.7125,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Sensor Verification and Analytical Validation of Algorithms to Measure Gait and Balance and Pronation/Supination in Healthy Volunteers.,36016036,PMC9412295,B29-sensors-22-06275,"For the iPhone software task and algorithms, intraclass correlation coefficients (ICCs) > 0.75 are achieved versus the human raters for measures when walking distance is >10 s and pronation/supination when the arm is rotated more than two times.",0.5,0.625,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Sensor Verification and Analytical Validation of Algorithms to Measure Gait and Balance and Pronation/Supination in Healthy Volunteers.,36016036,PMC9412295,B29-sensors-22-06275,Passively detected walking start and end time was accurate to approx.,0.41105,0.7000000000000001,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Sensor Verification and Analytical Validation of Algorithms to Measure Gait and Balance and Pronation/Supination in Healthy Volunteers.,36016036,PMC9412295,B29-sensors-22-06275,"1 s and walking measures were accurate to one unit, e.g., one step.",0.5,0.7000000000000001,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Sensor Verification and Analytical Validation of Algorithms to Measure Gait and Balance and Pronation/Supination in Healthy Volunteers.,36016036,PMC9412295,B29-sensors-22-06275,The results suggest that the Apple iPhone and ActiGraph GT9X accelerometers are fit for purpose and that task and passively collected measures are sufficiently analytically valid to assess usability and clinical validity in Parkinson’s patients.,0.60115,0.7,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Differentiation of Parkinson's disease tremor and essential tremor based on a novel hand posture.,35647517,PMC9136132,b0050,"The suppression of rest tremor during movement onset and its reoccurrence after a latency is defined as re-emergent tremor [CIT] , which is a relevant diagnostic feature to separate PT from ET [11].",0.5,0.7,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Clinical Differentiation of Essential Tremor and Parkinson's Disease.,35185349,PMC8848065,bibr4-CCRep.S11903,"3 Re-emergent tremor has been described by Jankovic et al [CIT] as a possible analogue of rest tremor in PD patients, with similar frequency characteristics.",0.5,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Clinical Differentiation of Essential Tremor and Parkinson's Disease.,35185349,PMC8848065,bibr4-CCRep.S11903,"[CIT] To our knowledge, the alternating characteristic of re-emergent tremor in PD has not been previously demonstrated.",0.5,0.44166666666666665,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Clinical Differentiation of Essential Tremor and Parkinson's Disease.,35185349,PMC8848065,bibr4-CCRep.S11903,"Jankovic et al [CIT] reported postural tremor latency average 0.06 s (±0.28) range 0–1.29 s for ET and average 6.25 s (±9.76), range 0–47.0 s for PD.",0.5,0.425,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",The Role of the Cerebellum in Tremor - Evidence from Neuroimaging.,34820148,PMC8603856,B55,"In many cases, the tremor re-emerges during stable posturing, at the same frequency [ [CIT] ].",0.648,0.625,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",The Role of the Cerebellum in Tremor - Evidence from Neuroimaging.,34820148,PMC8603856,B55,"For instance, many PD patients with resting tremor also exhibit a postural “re-emergent” tremor [ [CIT] ].",0.5,0.75,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry","Deep Brain Stimulation for Tremor: Update on Long-Term Outcomes, Target Considerations and Future Directions.",34441763,PMC8397098,B4-jcm-10-03468,"The amplitude of tremor should increase during mental tasks, diminish or disappear during active movement of the limb, and reoccur after its termination [3, [CIT] ].",0.7383500000000001,0.44166666666666665,0.9999995000005,0.047619047619047616,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry","Deep Brain Stimulation for Tremor: Update on Long-Term Outcomes, Target Considerations and Future Directions.",34441763,PMC8397098,B4-jcm-10-03468,"When a voluntary movement is initiated, the tremor is temporarily suppressed and reoccurs after a few seconds with the hands outstretched, also called re-emergent tremor [3, [CIT] ].",0.5,0.4,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Tremor Syndromes: An Updated Review.,34381412,PMC8350038,B106,The term “re-emergent tremor” was coined by Jankovic et.al ( [CIT] ) to describe a form of postural tremor in patients with PD that emerges after a latency of a few seconds when hands and arms are held in an anti-gravity horizontal posture.,0.5,0.4,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Tremor Syndromes: An Updated Review.,34381412,PMC8350038,B106,"The exact neural correlates of re-emergent tremor remain elusive; however, there is evidence to suggest that it overlaps with parkinsonian rest tremor in terms of frequency (both are of 3–5 Hz), the direction of movement (occasional supination-pronation), and response to dopaminergic medications ( [CIT] , 111, 112).",0.5,0.5625,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Interaction of Indirect and Hyperdirect Pathways on Synchrony and Tremor-Related Oscillation in the Basal Ganglia.,33790961,PMC7984917,B63,"Compensatorily, the convincing arguments undertaken in [ [CIT] ] emphasized that the striatum might make important impacts in the development of the specific form of tremor.",0.60115,0.65,0.9999995000005,0.05263157894736842,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",STN Versus GPi Deep Brain Stimulation for Action and Rest Tremor in Parkinson's Disease.,33192410,PMC7651783,B17,"These differentiations can have important clinical implications as the underlying pathophysiology between the tremor subtypes are not identical ( [CIT] ; Dirkx et al., 2018).",0.60115,0.7,0.9999995000005,0.047619047619047616,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Telemonitoring Parkinson's disease using machine learning by combining tremor and voice analysis.,33090328,PMC7579898,CR10,"Besides, early detection of PD is essential as the treatments such as levodopa/carbidopa are more effective if administered in the early stages of the disease [ [CIT] ].",0.7627999999999999,0.6083333333333334,0.9999995000005,0.045454545454545456,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Levodopa Changes Functional Connectivity Patterns in Subregions of the Primary Motor Cortex in Patients With Parkinson's Disease.,32733186,PMC7360730,B38,"In fact, postural tremor may be the first manifestation of PD and may be more prominent and disabling than resting tremor ( [CIT] ).",0.4024,0.7083333333333334,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Is an Isolated Weight-Holding Tremor a New Subtype of Isometric Tremor?,32608210,PMC7329742,B2,[CIT] The patient showed no signs of suggestibility or distractibility.,0.22885,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Is an Isolated Weight-Holding Tremor a New Subtype of Isometric Tremor?,32608210,PMC7329742,B2,"N-(3-[18F]fluoropropyl)-2β-carbomethoxy-3β-(4-iodophenyl)nortropane (18F-FP-CIT) positron emission tomography revealed reduced uptake in the posterior-dorsal putamen, which was more pronounced on the right (Fig.",0.5,0.6964285714285714,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Is an Isolated Weight-Holding Tremor a New Subtype of Isometric Tremor?,32608210,PMC7329742,B2,"[CIT] There have been some reports of cases with PD with a re-emerging tremor but no resting tremor.3 Unlike the previously reported cases, the amplitudes of tremors in our patients increased with the weight load, suggesting that weight loading has little effect on postural hand tremors in patients with PD.4",0.8155,0.41145833333333337,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Systematic clinical approach for diagnosing upper limb tremor.,32457087,PMC7402459,R12,"[CIT] Although resting tremor is a key feature of a Parkinson’s tremor, 19% of the patients show an additional pure postural tremor that is independent from the resting tremor (unlike re-emergent tremor, which is a continuation of resting tremor during stable posturing).10 Tremor occurs less often in atypical parkinsonism than in PD, but it can nevertheless be a presenting sign.",0.57655,0.5047619047619047,0.9999995000005,0.022727272727272728,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Clinical Features of Parkinson's Disease: The Evolution of Critical Symptoms.,32438686,PMC7285080,B35-biology-09-00103,Postural tremor is found to be more prominent than rest tremor and might be one of the first signs of PD [ [CIT] ].,0.6902,0.7083333333333334,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Parkinson's Disease Exhibits Amplified Intermuscular Coherence During Dynamic Voluntary Action.,32308641,PMC7145888,B2,"Action tremor is distinct from rest tremor [or its re-emergence during steady contraction ( [CIT] )] in that is higher in frequency (6–15 vs. 3–5 Hz), enhanced during dynamic action rather than reduced, and it is not attenuated by dopamine replacement in PD (4).",0.6909,0.5763888888888888,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Re-emergent Tremor in Parkinson's Disease: The Role of the Motor Cortex.,32175656,PMC8448579,,Parkinson's disease patients may show a tremor that appears after a variable delay while the arms are kept outstretched (re-emergent tremor).,0.3409,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Re-emergent Tremor in Parkinson's Disease: The Role of the Motor Cortex.,32175656,PMC8448579,,The objectives of this study were to investigate re-emergent tremor pathophysiology by studying the role of the primary motor cortex in this tremor and making a comparison with rest tremor.,0.5,0.7,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Re-emergent Tremor in Parkinson's Disease: The Role of the Motor Cortex.,32175656,PMC8448579,,We enrolled 10 Parkinson's disease patients with both re-emergent and rest tremor.,0.5,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Re-emergent Tremor in Parkinson's Disease: The Role of the Motor Cortex.,32175656,PMC8448579,,"Tremor was assessed by spectral analysis, corticomuscular coherence and tremor-resetting produced by transcranial magnetic stimulation over the primary motor cortex.",0.5,0.7,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Re-emergent Tremor in Parkinson's Disease: The Role of the Motor Cortex.,32175656,PMC8448579,,"We also recorded transcranial magnetic stimulation-evoked potentials generated by motor cortex stimulation during rest tremor, tremor suppression during wrist extension, and re-emergent tremor.",0.5,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Re-emergent Tremor in Parkinson's Disease: The Role of the Motor Cortex.,32175656,PMC8448579,,"Spectral analysis, corticomuscular coherence, and tremor resetting were compared between re-emergent tremor and rest tremor.",0.5,0.5,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Re-emergent Tremor in Parkinson's Disease: The Role of the Motor Cortex.,32175656,PMC8448579,,"Re-emergent tremor showed significant corticomuscular coherence, causal relation between motor cortex activity and tremor muscle and tremor resetting.",0.60115,0.6875,0.5,0.0,0.0
Re-emergent tremor of Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",Re-emergent Tremor in Parkinson's Disease: The Role of the Motor Cortex.,32175656,PMC8448579,,"The P60 component of transcranial magnetic stimulation-evoked potentials reduced in amplitude during tremor suppression, recovered before re-emergent tremor, was facilitated at re-emergent tremor onset, and returned to values similar to those of rest tremor during re-emergent tremor.",0.70095,0.5,0.5,0.0,0.0
